"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_medium",0.526165051393175,0.179818372533876,2.92609172232416,0.402482411816861,1.30729948923232
"b_low",-0.0581127577124867,0.130960565300417,-0.443742416499035,0.300268147564047,-0.193536204835351
"b_indep",0.111978005211635,0.22175425999915,0.5049643926212,0.446951356274827,0.250537342911161
"b_high",1.30474705024399,0.181346055850268,7.19479143964004,0.404982214859273,3.22173913414291
"b_labelbio",1.63645400763538,0.163593640080019,10.0031639789599,0.307423611763951,5.32312400549083
"b_labelpleinair",1.19593486984178,0.106066256758408,11.2753566156843,0.220250981743786,5.42987304925157
"b_nolabel",0,NA,NA,NA,NA
"b_calibreL",0.31756469892123,0.0544642975022998,5.83069484937028,0.122697697835459,2.58818791650919
"b_calibreM",0,NA,NA,NA,NA
"mu_lnorm",3.07682441829606,0.0600630088949242,51.2266114353134,0.0969801669721668,31.7263262619366
"sigma_lnorm",-0.313492570275173,0.02659828585793,-11.7861944919924,0.0384614247377411,-8.15083092768406
"c_high",-0.346490999559345,0.0784511706881179,-4.41664536705026,0.111164999697469,-3.11690730447807
"c_low_middle",0,NA,NA,NA,NA
"c_high_middle",-0.176697092678786,0.0595551479103426,-2.96694910312027,0.0651108317318228,-2.71378951825654
"c_low",0.184224175852762,0.0719998170226126,2.55867561156307,0.0446100553264584,4.12965584787111
"b_nosale",0,NA,NA,NA,NA
"b_control",-0.283171326344814,10.006942358037,-0.0282974875055002,144.728938865693,-0.00195656327313775
