"b_medium","b_low","b_indep","b_high","b_other","b_labelbio","b_labelpleinair","b_calibreL","b_valqvol","b_price1","b_price2","b_control","b_class","logLike"
0,0,0,0,0,0,0,0,0,1,3,0,0.5,-15733.2589884685
0,0,0,0,0,0,0,0,0,1,3,0,0.5,-15733.2589884685
0.00513307773508132,0.00586375400889665,-0.0182102278573439,0.00532250453252346,-0.00414159351494164,-0.00678227308671922,-0.00529905001167208,-0.00498723129276187,-0.0534528812393546,0.995838328893296,2.99992245330941,0.0691614076728002,0.498791594710201,-15503.6467397625
0.654491613130521,0.82238686857545,-2.55256843140356,0.665969908826256,-0.302321312561985,-1.03474288170577,-0.716623780935216,-0.760712757084884,-0.0939606922893427,0.393252084052878,2.98759078010119,0.0703452031999339,0.331045353080013,-13623.6368796833
0.622915019980782,0.848945962712815,-2.57353400002142,0.685976362948393,-0.345948542916419,-1.11012309576382,-0.761770692459588,-0.648743999935473,-0.106470681083164,0.337786263118318,2.99669771660523,0.0599568668683903,0.311763344513125,-13559.7375651166
0.576024802423543,0.888577460896877,-2.60362336872148,0.715441644531464,-0.410583239998876,-1.22145070732982,-0.828303054375257,-0.4833982623755,-0.0936198977971167,0.255447906054366,3.01037981854758,0.0686838234320347,0.283093121445861,-13462.6705972594
0.214200570235803,0.544320064072727,-2.60292281914431,0.417482086246197,-0.58590372021687,-1.63876795034675,-0.562811925820711,-0.595831529762708,-0.0849816217018708,-0.888189254080386,3.38531297716489,0.084032138286294,-0.111707764644727,-13341.4746082966
0.311507847137185,-0.319809098060068,-2.73590962199719,-0.108526096908367,-1.18431434797497,-1.08577042538946,-0.740226213040602,-0.41792396926769,-0.053799194655976,-3.68268561877306,4.51597119219695,0.0960779370141188,-1.0172199834146,-13231.4721932296
0.183510791887904,-0.156632981142603,-3.18418295947215,-0.276491143581236,-0.991972893717962,-0.0829968954979396,0.130539718533777,0.218819872782714,-0.0396904558606557,-6.45896072320288,5.81390391729178,0.111644817635806,-1.77516183600959,-13147.5570626821
0.235663101593969,0.47897081479934,-2.74935455876443,0.118353009271016,-1.19717272667479,0.203615662869706,0.305887212656197,0.0492970796964303,-0.047128607102521,-7.63443722180609,6.41099625670163,0.0979235988953683,-2.04530193198832,-13146.2134259453
2.76425293495882,2.24471905030004,0.588373723577956,3.92973593880394,1.70899805017187,-0.138333952362747,0.363200763540049,-0.336851296166911,-0.112986873885234,-14.3262315769841,9.93412492398928,0.0994598890027747,-3.44344423643163,-13018.5579268305
3.25919226475099,2.69870058968443,1.11988704463644,4.13725536363061,2.21223496264244,-0.252653527761644,0.292992594146275,-0.385004785045332,-0.126725086837565,-15.3123458870768,10.4303500949919,0.101088393465587,-3.63226720595052,-12931.7655359248
3.451886526282,2.75203050976032,1.2111900964287,4.16962846126499,2.21910494635078,-0.305446969497524,0.381053514211063,-0.360228567398876,-0.127432437003422,-15.4643873545164,10.4871423839528,0.0998623238732386,-3.64458643284455,-12920.9947482045
3.45542956527992,2.61304414451481,1.28568696693252,3.95918955778717,2.12346722763416,-0.173979423997817,0.372441543779967,-0.245395915626138,-0.114356718899387,-16.7479353567823,8.03961159268637,0.0975345672878353,-1.02121691912238,-12741.9324996279
3.18773953959473,2.66216431794039,1.2876692140306,3.22447103009025,2.04686129965648,1.09651426769466,0.422406637535138,0.27905351214722,-0.0731978314799595,-17.8451012022828,-4.15661003088431,0.0707017515951313,-2.66771341816329,-12494.3606009957
2.01611720884587,1.79467561960655,0.0292550627463304,1.99026782969995,0.797112352724249,-0.544626503344418,-0.12765412878864,0.285815763508179,-0.0491356389809533,-12.4005152526723,4.70349360420147,0.0498505344220674,-1.07471701003593,-12421.0732893705
2.85413130879706,2.32122352773311,0.952169491700445,2.97587578129136,1.67947826599076,0.00130545194671972,0.160103989544924,0.122676709949319,-0.0781718110006911,-15.9074083717507,1.34417722548569,0.0536591952280585,-0.823559271669858,-12366.3747315123
2.67561066708546,2.23861451707573,0.767065917825218,2.81962065310253,1.54134925630168,0.106101805548235,0.137353904416342,0.15750289181862,-0.0700686891195864,-15.590893491919,0.330754180505919,0.0499270071166882,-1.26109159929633,-12359.8725309003
2.67476959986918,2.24075368265755,0.760267801781501,2.82456008586629,1.52506932623663,0.0612811688967352,0.125303684732419,0.161958159202371,-0.0691022738806995,-15.6380805469041,0.58569715928133,0.0486359178363393,-0.973301099950187,-12358.3050863565
2.71229444871272,2.26562374919938,0.789756369052746,2.86236726081062,1.54951638130708,0.0373138529955659,0.126492888080446,0.156328183972785,-0.07038664787932,-15.7425134832959,0.850075822838906,0.0481139685599148,-1.06209887127796,-12358.0150878409
2.71647677179369,2.26698748402334,0.792284572826211,2.86748110648754,1.55539428386139,0.0460050124849445,0.127881892813956,0.158277001234424,-0.0699704210634257,-15.8207687872223,0.696272495860394,0.0477921491769873,-1.04818193231288,-12357.8950586391
2.72011830583842,2.27097091223386,0.793438799241545,2.87262011504756,1.55775444623092,0.0476481425349594,0.128242197409938,0.159782392643079,-0.0698201867792455,-15.8774402592204,0.636464115631023,0.047632928329911,-1.04134557806031,-12357.8717006856
2.72154184344576,2.27191619510107,0.794828156924699,2.87410282971006,1.55914433052307,0.0474458294784316,0.12839898775529,0.160009081289331,-0.069836982516538,-15.8913075649583,0.628222186013905,0.0476801007540315,-1.04079669188657,-12357.8707753232
2.72150107449871,2.27201932315916,0.794840586324961,2.87408443822168,1.559202955342,0.0475361201657464,0.128427805827262,0.160094739944692,-0.0698410625677981,-15.8928305659672,0.627632067160812,0.0477078843772975,-1.04076640352974,-12357.8707257339
