"b_medium","b_low","b_indep","b_high","b_other","b_labelbio","b_labelpleinair","b_calibreL","b_valqvol","b_price","logLike"
0,0,0,0,0,0,0,0,0,0,-15211.4759678618
0,0,0,0,0,0,0,0,0,0,-15211.4759678618
0.004248416563496,0.00547019673977047,-0.0163060646736994,0.00494642520789057,-0.00397663728799671,-0.00364741580560804,-0.00293302319478244,-0.00609620069153607,-0.0511490469565615,-0.00332936409395188,-15133.7258399372
0.614890547293691,0.866624220242382,-2.4364300492835,0.714042561161074,-0.486319674174874,-0.645196303960247,-0.479313787783039,-1.03736250456374,-0.0912461748254032,-0.526850730318804,-14075.1507274228
0.492894796516842,0.946385732178157,-2.67443340720186,0.905264044879055,-0.569284693938052,-0.807902981607354,-0.500542080246536,-0.557562968793813,-0.0857083547032485,-0.672163193296068,-13927.5304492931
0.265396779459134,0.741637783913319,-2.94941693816886,0.575799574495907,-0.582523904421288,-0.605754848018884,-0.45810347207403,-0.424164949866743,-0.0828070283818267,-1.2131509984014,-13888.4990301056
0.184914912655049,0.608600021045992,-3.08267801640308,0.415916646403949,-0.80256638345127,-0.413920413944514,-0.284272591658402,-0.343883365439034,-0.0761993298725867,-1.61716851308483,-13849.939002172
0.148671593088978,0.617602318055148,-3.06075468304669,0.442819061533855,-0.815629081927405,-0.392917710667432,-0.29205575112856,-0.358821327117953,-0.0763064053263609,-1.69121182246861,-13845.8537792316
0.22899992772063,0.656999335799298,-2.90678667656042,0.684084374073179,-0.61642484565584,-0.277763962601987,-0.168367963703074,-0.387986332069646,-0.0781324797288648,-2.2783370830675,-13821.9249214318
1.33159868762723,1.46260507905976,-1.59028375401846,1.64319420184625,0.358675485562494,0.396722593859407,-0.0253807123380155,-0.304173043198583,-0.0899300404180412,-6.3035079297413,-13670.1581828308
1.55651934374274,1.68841438879692,-1.20405550808442,1.79779027294164,0.593788799932968,0.321128146800088,0.116410928086411,-0.337168444490706,-0.0970759375904486,-7.38113744964444,-13634.7967577577
1.60954936182116,1.63331869412267,-1.14665186405256,1.83651775410745,0.601395277509375,0.280492953593997,0.0908934597166954,-0.344123732858801,-0.0976452352672368,-7.52725670474695,-13629.0466836737
1.00962316202549,1.02358151079705,-0.0138142890428747,1.44096368441726,-0.0373661963679832,0.770711406831366,0.470238329705608,0.144488605957204,-0.0107783551827758,-9.27810182489229,-13455.5712235532
1.2113865407486,1.2726726474609,-0.62087494435098,1.60684466699067,0.310944072224933,0.650409870680656,0.332377980834314,0.000571789646310522,-0.0555278362728241,-8.31719252105076,-13301.6017209666
1.12843349129289,1.19889835315309,-0.477363469669644,1.51582993195919,0.2253914853603,0.626002140797206,0.306278157901326,-0.0145210475113266,-0.0511338775571728,-8.07942653951929,-13283.8157402372
1.01841157900135,1.11292111390716,-0.543135486732509,1.40310862147719,0.143107266207145,0.607070867702099,0.294391708902019,0.00247153799414603,-0.0470882217756157,-7.75876952971717,-13282.5671244292
1.03051683291415,1.12164342487167,-0.530514324991151,1.41400425936394,0.156305496137101,0.603274471817362,0.291938632561694,-0.0035699644981936,-0.0481527026130501,-7.76025859758164,-13282.5094806914
1.02657965086696,1.11906397661862,-0.537383622615976,1.41008333952663,0.153615706391851,0.600889003990904,0.29062522269819,-0.00318868853901442,-0.048160153308446,-7.7398425448951,-13282.5065908781
1.0263985390994,1.11885674268676,-0.537151900072665,1.409859346279,0.153639273145518,0.600909431108669,0.290700954116517,-0.00314958005103807,-0.0481556566259318,-7.739004099636,-13282.5065209078
